Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
26114543,"Big Five, The",Sanjiv Chopra,"Chopra, Sanjiv",David Fisher,"=""125006533X""","=""9781250065339""",0,3.74,Thomas Dunne Books,Hardcover,192,2016,2016,,2016/07/05,"to-read, altucher","to-read (#109), altucher (#17)",to-read,,,,,,,0,,,,,
26703883,Causal inference in statistics : a primer,Judea Pearl,"Pearl, Judea",,"=""1119186846""","=""9781119186847""",0,3.76,Wiley,Paperback,150,2016,2016,,2016/06/30,to-read,to-read (#108),to-read,,,,,,,0,,,,,
639864,Autobiography of a Yogi,Paramahansa Yogananda,"Yogananda, Paramahansa",,"=""0876120834""","=""9780876120835""",0,4.22,Self-Realization Fellowship Publishers,Paperback,520,1994,1946,,2016/06/23,to-read,to-read (#107),to-read,,,,,,,0,,,,,
25387895,The Confidence Game: Why We Fall for It . . . Every Time,Maria Konnikova,"Konnikova, Maria",,"=""0525427414""","=""9780525427414""",0,3.64,Viking,Hardcover,352,2016,2015,,2016/06/22,"altucher, to-read","altucher (#16), to-read (#106)",to-read,,,,,,,0,,,,,
18366743,"The Divine Blueprint: Temples, Power Places, and the Global Plan to Shape the Human Soul",Freddy Silva,"Silva, Freddy",,"=""""","=""""",0,4.88,Invisible Temple,Paperback,318,2013,2010,,2016/06/21,to-read,to-read (#105),to-read,,,,,,,0,,,,,
22859551,The Crossroads of Should and Must: Find and Follow Your Passion,Elle Luna,"Luna, Elle",,"=""0761184880""","=""9780761184881""",0,4.04,Workman Publishing Company,Hardcover,161,2015,2015,,2016/06/14,to-read,to-read (#104),to-read,,,,,,,0,,,,,
21548935,The Art of Work,Jeff Goins,"Goins, Jeff",,"=""0529117657""","=""9780529117656""",0,4.02,Thomas Nelson,Paperback,,,2015,,2016/06/14,to-read,to-read (#103),to-read,,,,,,,0,,,,,
9068044,Social Engineering: The Art of Human Hacking,Christopher Hadnagy,"Hadnagy, Christopher",Paul Wilson,"=""0470639539""","=""9780470639535""",0,3.83,Wiley Publishing,Paperback,382,2010,2010,,2016/06/10,to-read,to-read (#102),to-read,,,,,,,0,,,,,
25666050,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,"Christian, Brian",Tom  Griffiths,"=""1627790365""","=""9781627790369""",0,4.16,Henry Holt and Co.,Hardcover,368,2016,2016,,2016/06/08,to-read,to-read (#101),to-read,,,,,,,0,,,,,
30369682,Hike Victoria,John Crouch,"Crouch, John",,"=""""","=""""",0,0.0,Chickadee Press,Paperback,,,,,2016/06/07,to-read,to-read (#100),to-read,,,,,,,0,,,,,
26240890,Cycling the Islands: A Guide to Scenic Routes on the San Juan and Gulf Islands,John Crouch,"Crouch, John",,"=""1771601612""","=""9781771601610""",0,3.50,RMB | Rocky Mountain Books,Paperback,184,2016,2016,,2016/06/07,to-read,to-read (#99),to-read,,,,,,,0,,,,,
25963008,Six highways to home: a cycling journey from Whitehorse to Victoria,John Crouch,"Crouch, John",,"=""""","=""9780973191356""",0,3.50,Chickadee Press,Paperback,200,2014,2014,,2016/06/07,to-read,to-read (#98),to-read,,,,,,,0,,,,,
